,Name of File,Actual,Predicted,Correct?,Avg. Distance,3 Nearest Neighbors
0,11thHourNewsRecordedFromBroadcast0,1,1,True,4.018992402355667,"BelowDeckMEDRecordedFromBroadcast89, TF_Hour33, AriMelberNewsRecordedFromBroadcast19, "
1,11thHourNewsRecordedFromBroadcast1,1,1,True,4.072763180215599,"BelowDeckMEDRecordedFromBroadcast88, BelowDeckMEDRecordedFromBroadcast89, ChicagoMedDramaRecordedFromBroadcast2, "
2,11thHourNewsRecordedFromBroadcast10,1,1,True,3.504150446572616,"BelowDeckMEDRecordedFromBroadcast99, BelowDeckMEDRecordedFromBroadcast90, AriMelberNewsRecordedFromBroadcast97, "
3,11thHourNewsRecordedFromBroadcast100,1,1,True,3.5344941733700153,"AriMelberNewsRecordedFromBroadcast21, AriMelberNewsRecordedFromBroadcast5, AriMelberNewsRecordedFromBroadcast12, "
4,11thHourNewsRecordedFromBroadcast101,1,1,True,3.7765645477050436,"BelowDeckMEDRecordedFromBroadcast89, AriMelberNewsRecordedFromBroadcast12, AriMelberNewsRecordedFromBroadcast58, "
5,11thHourNewsRecordedFromBroadcast102,1,0,False,3.5748244459614646,"METALKING-RECORDEDPT2-51, AriMelberNewsRecordedFromBroadcast58, METALKING-RECORDEDPT2-39, "
6,11thHourNewsRecordedFromBroadcast103,1,1,True,3.4733768344778646,"AriMelberNewsRecordedFromBroadcast16, AriMelberNewsRecordedFromBroadcast19, AriMelberNewsRecordedFromBroadcast20, "
7,11thHourNewsRecordedFromBroadcast104,1,1,True,3.5958136713303386,"AriMelberNewsRecordedFromBroadcast21, AriMelberNewsRecordedFromBroadcast5, BelowDeckMEDRecordedFromBroadcast89, "
8,11thHourNewsRecordedFromBroadcast105,1,1,True,4.026458140958214,"AriMelberNewsRecordedFromBroadcast21, METALKING-RECORDEDPT2-51, AriMelberNewsRecordedFromBroadcast5, "
9,11thHourNewsRecordedFromBroadcast106,1,1,True,3.73801049873297,"AriMelberNewsRecordedFromBroadcast12, AriMelberNewsRecordedFromBroadcast19, AriMelberNewsRecordedFromBroadcast5, "
